City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
neon soulion,41.1,23.65,9.44,94,0,0.74,GR,1612405947
santa rosa de viterbo,-21.4728,-47.3631,25,83,40,1.54,BR,1612405949
port lincoln,-34.7333,135.8667,14.53,88,100,7.74,AU,1612405951
nemuro,43.3236,145.575,-9,57,20,2.06,JP,1612405945
moindou,-21.6924,165.677,28.32,74,30,7.22,NC,1612405954
richards bay,-28.783,32.0377,23.31,90,100,1.44,ZA,1612405955
erzin,36.9559,36.2,12.78,71,100,5.36,TR,1612405957
sao filipe,14.8961,-24.4956,22.1,78,90,5.25,CV,1612405928
meulaboh,4.1363,96.1285,26.06,82,76,2.31,ID,1612405774
pemberton,50.3164,-122.8027,1.11,100,90,1.16,CA,1612405797
lazaro cardenas,17.9583,-102.2,23.57,86,11,2.64,MX,1612405801
caravelas,-17.7125,-39.2481,24.15,87,57,2.51,BR,1612405965
baton rouge,30.4508,-91.1545,11,46,1,3.6,US,1612405709
